latin,portuguese,lang
at,-a,pt
a,a/languages m to z,pt
a,á,pt
ad-,a-,pt
alapa,aba,pt
abbas,abade,pt
abbas,abadessa,pt
vallis,abalar,pt
bracchium,abarcar,pt
battō,abater,pt
apicula,abelha,pt
apertus,aberto,pt
apertūra,abertura,pt
volūta,abóbada,pt
abundantia,abondança,pt
abhorresco,aborrecer,pt
abhorreō,aborrir,pt
apricor,abrigar,pt
aprīlis,abril,pt
aperio,abrir,pt
aperī oculōs,abrolho,pt
abrotanum,abrótea,pt
prūnus,abrunho,pt
vultur,abutre,pt
capto,acatar,pt
accepto,aceitar,pt
accendo,acender,pt
accēnsus,aceso,pt
astula,acha,pt
afflo,achar,pt
afflo,achar menos,pt
applico,achegar,pt
culus,-acho,pt
āceus,-aço,pt
aciēs,aço,pt
ac-,acolher,pt
consilior,aconselhar,pt
accipiter,açor,pt
cordatus,acordar,pt
accresco,acrescer,pt
āta,-ada,pt
apothēca,adega,pt
anas,adem,pt
alaternus,aderno,pt
additus,adido,pt
ad,adivinhar,pt
addormisco,adormecer,pt
adriānus,adrião,pt
atrium,adro,pt
offoco,afogar,pt
aggremiare,agarimar,pt
agīna,aginha,pt
augurium,agoiro,pt
[[hāc]] [[hōrā]],agora,pt
augustīnus,agostinho,pt
augustus,agosto,pt
auguro,agourar,pt
aqua,água,pt
acūtus,aguçar,pt
acūtus,agudo,pt
aquila,águia,pt
aquilō,aguião,pt
guilari,aguiar,pt
ad,aí,pt
avia,aia,pt
inde,ainda,pt
ātis,-ais,pt
adiūtō,ajudar,pt
ālis,-al,pt
calx,alcançar,pt
laesio,aleijão,pt
alemannus,alemão,pt
alga,alga,pt
aliēnus,alheio,pt
alia,-alho,pt
allium,alho,pt
alleviō,aliviar,pt
anima,alma,pt
longus,alongar,pt
porca,alporquia,pt
alto,altar,pt
alloco,alugar,pt
alluō,aluir,pt
arbitrium,alvedrio,pt
arbitrium,alvitre,pt
albus,alvo,pt
albus,alvor,pt
ant,-am,pt
amātus,amado,pt
amātor,amador,pt
amo,amar,pt
amārus,amargoso,pt
amibilia,amavio,pt
ambo,ambos,pt
minācia,ameaça,pt
minax,ameaçar,pt
damascēnus,ameixa,pt
amygdala,amêndoa,pt
amīca,amiga,pt
amīcus,amigo,pt
amor,amor,pt
mōrum,amora,pt
āmus,-amos,pt
anna,ana,pt
annālis,anal,pt
nānus,anão,pt
amplus,ancho,pt
ancora,âncora,pt
andus,-ando,pt
hirundō,andorinha,pt
agnus,anho,pt
annus,ano,pt
ante annum,antano,pt
antonius,antão,pt
ans,-ante,pt
antīquus,antigo,pt
antiquitas,antiguidade,pt
antuana,antuã,pt
adnūbilō,anuviar,pt
ō,-ão,pt
ad-,apagar,pt
appāreō,aparecer,pt
apparō,aparelhar,pt
appellito,apelidar,pt
appellitō,apelido,pt
appōnō,apor,pt
appositus,apostar,pt
praeconor,apregoar,pt
apprendo,aprender,pt
praesentō,apresentar,pt
approbo,aprovar,pt
eccum,aquele,pt
eccum,aquém,pt
eccum,aqueste,pt
eccum,aqui,pt
ō,-ar,pt
arātrum,arado,pt
arator,arador,pt
aes,arame,pt
arānea,aranha,pt
arō,arar,pt
ārcuo,arcar,pt
arcus,arco,pt
ardens,ardente,pt
ardeo,arder,pt
ardor,ardor,pt
arēna,areia,pt
arista,aresta,pt
ārefaciō,arfar,pt
arma,arma,pt
armātus,armado,pt
armātūra,armadura,pt
armō,armar,pt
arcus,arqueiro,pt
radicō,arraigar,pt
ad,arredar,pt
remissus,arremessar,pt
paeniteō,arrepender,pt
ad-,arrestar,pt
ad,arriba,pt
ēructō,arrotar,pt
articulus,artelho,pt
arbor,árvore,pt
arborētum,arvoredo,pt
ās,-as,pt
illās,as,pt
as,ás,pt
ānsa,asa,pt
assō,asar,pt
ōdī,asco,pt
asina,asna,pt
assō,assar,pt
a<id:nominal>,-a,es
ad,a/languages m to z,es
fūrtō,a hurto,es
ābam,-aba,es
abbās,abad,es
abbas,abadesa,es
ābātis,-abais,es
ābāmus,-ábamos,es
ābant,-aban,es
ad-,abañar,es
verrĕre,abarrar,es
ābās,-abas,es
battō,abatir,es
betulla,abedul,es
apicula,abeja,es
apertus,abierto,es
ābilis,-able,es
